verb;frequency;lang;cop
influence;30;en;26
damage;30;en;26
endanger;30;en;26
trustN;30;en;26
monitor;30;en;26
greet;30;en;26
log;30;en;26
murder;29;en;26
deliverN;29;en;26
extend;29;en;26
signal;29;en;26
devastate;29;en;26
prosecute;29;en;26
collaborate;29;en;26
mobilize;29;en;26
unlock;29;en;26
convene;29;en;26
sustain;28;en;26
condemn;28;en;26
harness;28;en;26
eliminate;28;en;26
abandon;28;en;26
hang;28;en;26
surround;28;en;26
gain;28;en;26
charge;28;en;26
lower;28;en;26
understandN;27;en;26
chat;27;en;26
sum;27;en;26
define;27;en;26
coincide;27;en;26
found;27;en;26
farm;27;en;26
heres;26;en;26
lift;26;en;26
respect;26;en;26
accomplish;26;en;26
weaken;26;en;26
endN;26;en;26
fulfil;26;en;26
tick;26;en;26
risk;26;en;26
silence;26;en;26
workN;26;en;26
shine;26;en;26
press;26;en;26
jet;26;en;26
instal;25;en;26
fear;25;en;26
sacrifice;25;en;26
translate;25;en;26
quit;25;en;26
submit;25;en;26
center;25;en;26
tear;25;en;26
clear;25;en;26
assess;25;en;26
grant;25;en;26
stream;25;en;26
associate;24;en;26
rest;24;en;26
judge;24;en;26
attempt;24;en;26
approach;24;en;26
recommend;24;en;26
changeN;24;en;26
champion;24;en;26
hearN;24;en;26
owe;24;en;26
denounce;24;en;26
hail;24;en;26
shout;24;en;26
repeat;24;en;26
debate;24;en;26
sail;24;en;26
ignoreN;24;en;26
pursue;24;en;26
reaffirm;24;en;26
absorb;24;en;26
divest;24;en;26
climaterelate;24;en;26
film;24;en;26
disappoint;23;en;26
refer;23;en;26
lack;23;en;26
recover;23;en;26
insist;23;en;26
unfold;23;en;26
thrill;23;en;26
predict;23;en;26
worsen;23;en;26
drink;23;en;26
signN;23;en;26
display;23;en;26
match;23;en;26
assemble;23;en;26
blast;23;en;26
rethink;23;en;26
attenborough;23;en;26
dominate;22;en;26
includeN;22;en;26
vow;22;en;26
listenN;22;en;26
question;22;en;26
rank;22;en;26
consign;22;en;26
saveN;21;en;26
fire;21;en;26
wreck;21;en;26
progress;21;en;26
apologize;21;en;26
approve;21;en;26
light;21;en;26
greenwash;21;en;26
study;21;en;26
pour;21;en;26
copglasgow;21;en;26
lobby;21;en;26
operate;21;en;26
sturgeon;21;en;26
cohoste;21;en;26
bind;20;en;26
consume;20;en;26
realize;20;en;26
bet;20;en;26
overcome;20;en;26
guarantee;20;en;26
team;20;en;26
complete;20;en;26
tackleN;20;en;26
intend;20;en;26
wind;20;en;26
cope;20;en;26
trend;20;en;26
mine;20;en;26
direct;20;en;26
depart;20;en;26
icymi;19;en;26
hurt;19;en;26
impose;19;en;26
rip;19;en;26
underpin;19;en;26
descend;19;en;26
gtgt;19;en;26
rule;19;en;26
pack;19;en;26
joinN;19;en;26
campaign;19;en;26
beat;19;en;26
decrease;19;en;26
identify;19;en;26
sequester;19;en;26
jump;19;en;26
drill;18;en;26
spin;18;en;26
concern;18;en;26
channel;18;en;26
betray;18;en;26
ramp;18;en;26
reinforce;18;en;26
sideline;18;en;26
beg;18;en;26
grab;18;en;26
belong;18;en;26
decline;18;en;26
actN;18;en;26
ship;18;en;26
observe;18;en;26
notice;18;en;26
ditch;18;en;26
reiterate;18;en;26
coordinate;18;en;26
ride;18;en;26
select;18;en;26
exploit;18;en;26
compromise;17;en;26
escalate;17;en;26
convince;17;en;26
assist;17;en;26
revisit;17;en;26
comment;17;en;26
react;17;en;26
portray;17;en;26
communicate;17;en;26
drag;17;en;26
liveN;17;en;26
illustrate;17;en;26
test;17;en;26
deploy;17;en;26
delete;17;en;26
acceptN;17;en;26
schedule;17;en;26
guide;17;en;26
value;17;en;26
shoot;17;en;26
leak;17;en;26
deepen;17;en;26
payN;17;en;26
foolN;17;en;26
quote;17;en;26
flee;17;en;26
exacerbate;17;en;26
kettle;17;en;26
drownN;17;en;26
doze;17;en;26
subscribe;16;en;26
await;16;en;26
praise;16;en;26
fallN;16;en;26
subsidise;16;en;26
achieveN;16;en;26
finalise;16;en;26
rid;16;en;26
indicate;16;en;26
heed;16;en;26
doom;16;en;26
dry;16;en;26
photograph;16;en;26
addressN;16;en;26
attack;16;en;26
preach;16;en;26
agreeN;16;en;26
unpack;16;en;26
renew;16;en;26
hate;16;en;26
continueN;16;en;26
globalwarme;16;en;26
cross;16;en;26
resolve;16;en;26
ring;16;en;26
nowarnowarme;16;en;26
advise;16;en;26
meanN;16;en;26
moderate;16;en;26
profit;16;en;26
extract;16;en;26
livestreame;16;en;26
botherN;16;en;26
accompany;16;en;26
pop;16;en;26
mottley;16;en;26
perform;15;en;26
cry;15;en;26
handle;15;en;26
justify;15;en;26
hijack;15;en;26
applaud;15;en;26
rebuild;15;en;26
sort;15;en;26
fool;15;en;26
freeze;15;en;26
draft;15;en;26
distract;15;en;26
label;15;en;26
criticize;15;en;26
perpetuate;15;en;26
uphold;15;en;26
leverage;15;en;26
occupy;15;en;26
facilitate;15;en;26
foster;15;en;26
award;15;en;26
download;15;en;26
transport;15;en;26
leadN;15;en;26
repair;15;en;26
destabilise;15;en;26
earn;14;en;26
request;14;en;26
nail;14;en;26
paint;14;en;26
export;14;en;26
feelN;14;en;26
fuck;14;en;26
isolate;14;en;26
persuade;14;en;26
piss;14;en;26
shake;14;en;26
reforest;14;en;26
plead;14;en;26
book;14;en;26
forge;14;en;26
retire;14;en;26
actnow;14;en;26
regulate;14;en;26
sing;14;en;26
fracke;14;en;26
adaptN;14;en;26
converge;14;en;26
commend;14;en;26
touch;14;en;26
thread;14;en;26
afford;14;en;26
trawl;14;en;26
collapse;13;en;26
assure;13;en;26
underline;13;en;26
flow;13;en;26
import;13;en;26
frustrate;13;en;26
derail;13;en;26
assume;13;en;26
tax;13;en;26
cite;13;en;26
escape;13;en;26
heal;13;en;26
forest;13;en;26
ruin;13;en;26
root;13;en;26
drown;13;en;26
skip;13;en;26
race;13;en;26
complain;13;en;26
induce;13;en;26
appeal;13;en;26
overlook;13;en;26
educate;13;en;26
mislead;13;en;26
jinpe;13;en;26
guterre;13;en;26
holdN;12;en;26
putN;12;en;26
protectN;12;en;26
rush;12;en;26
emphasize;12;en;26
seemN;12;en;26
backbritishfarme;12;en;26
surge;12;en;26
occur;12;en;26
shock;12;en;26
commitN;12;en;26
mix;12;en;26
picture;12;en;26
restrict;12;en;26
devolve;12;en;26
eatN;12;en;26
compensate;12;en;26
chant;12;en;26
dodge;12;en;26
buyN;12;en;26
underscore;12;en;26
degrade;12;en;26
punish;12;en;26
cooperate;12;en;26
incentivise;12;en;26
uproot;12;en;26
invent;12;en;26
dare;12;en;26
pave;12;en;26
pressure;12;en;26
fulfill;12;en;26
copgda;12;en;26
bully;11;en;26
detail;11;en;26
sabotage;11;en;26
intervene;11;en;26
doubt;11;en;26
embed;11;en;26
vanish;11;en;26
please;11;en;26
revise;11;en;26
loseN;11;en;26
list;11;en;26
embark;11;en;26
surprise;11;en;26
summarise;11;en;26
mount;11;en;26
strand;11;en;26
near;11;en;26
reference;11;en;26
appoint;11;en;26
stocktake;11;en;26
distribute;11;en;26
overshadow;11;en;26
tie;11;en;26
supportN;11;en;26
outnumber;11;en;26
convert;11;en;26
hire;11;en;26
incorporate;11;en;26
spell;11;en;26
insulate;11;en;26
brand;11;en;26
dine;11;en;26
slip;11;en;26
interact;11;en;26
worryN;11;en;26
worldleade;11;en;26
undertake;11;en;26
investigate;11;en;26
unleash;11;en;26
co;11;en;26
breach;11;en;26
cool;11;en;26
existN;11;en;26
depict;11;en;26
trigger;11;en;26
green;11;en;26
exhibit;11;en;26
detain;11;en;26
bar;11;en;26
commence;11;en;26
deliverclimate;11;en;26
implore;10;en;26
stall;10;en;26
dismiss;10;en;26
bang;10;en;26
congratulate;10;en;26
rescue;10;en;26
crack;10;en;26
quantify;10;en;26
echo;10;en;26
affirm;10;en;26
matterN;10;en;26
conduct;10;en;26
trump;10;en;26
squeeze;10;en;26
retrofit;10;en;26
retain;10;en;26
fell;10;en;26
swanne;10;en;26
knock;10;en;26
prosper;10;en;26
trash;10;en;26
provideN;10;en;26
flourish;10;en;26
spur;10;en;26
codere;10;en;26
negotiateN;10;en;26
findN;10;en;26
dream;10;en;26
tout;10;en;26
bomb;10;en;26
showN;10;en;26
bless;10;en;26
admire;10;en;26
spew;10;en;26
reckon;10;en;26
emphasise;10;en;26
initiate;10;en;26
focusse;10;en;26
resign;10;en;26
enforce;10;en;26
bother;10;en;26
wave;10;en;26
premiere;10;en;26
electrify;10;en;26
allocate;10;en;26
gear;10;en;26
top;10;en;26
plug;10;en;26
rob;10;en;26
examine;10;en;26
fish;10;en;26
shove;10;en;26
overwhelm;10;en;26
chase;9;en;26
wasteN;9;en;26
beware;9;en;26
soar;9;en;26
choke;9;en;26
nod;9;en;26
erode;9;en;26
grasp;9;en;26
bringN;9;en;26
divert;9;en;26
ravage;9;en;26
callN;9;en;26
trap;9;en;26
police;9;en;26
crush;9;en;26
failN;9;en;26
enact;9;en;26
obsess;9;en;26
free;9;en;26
age;9;en;26
favour;9;en;26
spare;9;en;26
hammer;9;en;26
effect;9;en;26
shed;9;en;26
wash;9;en;26
lowlye;9;en;26
rain;9;en;26
equip;9;en;26
atomsclimate;9;en;26
cook;9;en;26
intensify;9;en;26
spruike;9;en;26
voteN;9;en;26
confuse;9;en;26
swear;9;en;26
reset;9;en;26
ground;9;en;26
proclaim;9;en;26
strive;9;en;26
tag;9;en;26
embody;9;en;26
representN;9;en;26
train;9;en;26
figure;9;en;26
reduceN;9;en;26
elevate;9;en;26
jail;9;en;26
shrink;9;en;26
fit;9;en;26
spearhead;9;en;26
dictate;9;en;26
sneak;9;en;26
smile;9;en;26
constitute;9;en;26
dance;9;en;26
prop;9;en;26
practice;9;en;26
screen;9;en;26
travelN;9;en;26
preside;9;en;26
broadcast;9;en;26
behave;9;en;26
starve;8;en;26
exchange;8;en;26
poison;8;en;26
settle;8;en;26
followN;8;en;26
deflate;8;en;26
analyze;8;en;26
climb;8;en;26
exit;8;en;26
opt;8;en;26
symbolise;8;en;26
cutN;8;en;26
moveN;8;en;26
arm;8;en;26
standN;8;en;26
frame;8;en;26
review;8;en;26
cheat;8;en;26
setN;8;en;26
extradite;8;en;26
weigh;8;en;26
matchN;8;en;26
accredit;8;en;26
pillage;8;en;26
order;8;en;26
parade;8;en;26
shame;8;en;26
causeN;8;en;26
permit;8;en;26
spark;8;en;26
mock;8;en;26
intertwine;8;en;26
calculate;8;en;26
terrify;8;en;26
sdgbebold;8;en;26
carve;8;en;26
reply;8;en;26
bury;8;en;26
mandate;8;en;26
suspend;8;en;26
violate;8;en;26
bump;8;en;26
reshape;8;en;26
plunder;8;en;26
interrupt;8;en;26
motivate;8;en;26
peak;8;en;26
biden;8;en;26
govern;8;en;26
gmt;8;en;26
morecycle;8;en;26
supply;8;en;26
execute;8;en;26
regenerate;8;en;26
reimagine;8;en;26
overhear;8;en;26
fixN;8;en;26
fightN;8;en;26
expectN;8;en;26
voice;8;en;26
consult;8;en;26
erase;8;en;26
chooseN;8;en;26
mob;8;en;26
defy;8;en;26
solih;8;en;26
rattle;7;en;26
inflict;7;en;26
prefer;7;en;26
fast;7;en;26
stave;7;en;26
rage;7;en;26
yield;7;en;26
relyN;7;en;26
document;7;en;26
withdraw;7;en;26
endure;7;en;26
trade;7;en;26
revive;7;en;26
cease;7;en;26
attract;7;en;26
construct;7;en;26
scream;7;en;26
regret;7;en;26
soften;7;en;26
migrate;7;en;26
centre;7;en;26
omit;7;en;26
line;7;en;26
deplete;7;en;26
email;7;en;26
succeedN;7;en;26
divide;7;en;26
suspect;7;en;26
impress;7;en;26
analyse;7;en;26
lieN;7;en;26
headline;7;en;26
askN;7;en;26
suck;7;en;26
rock;7;en;26
escort;7;en;26
startN;7;en;26
hug;7;en;26
affectN;7;en;26
fmq;7;en;26
transfer;7;en;26
enshrine;7;en;26
offsetN;7;en;26
compete;7;en;26
wipe;7;en;26
demolish;7;en;26
evolve;7;en;26
postpone;7;en;26
install;7;en;26
debunk;7;en;26
manufacture;7;en;26
maximise;7;en;26
gaslighte;7;en;26
copcycle;7;en;26
battle;7;en;26
disgust;7;en;26
thaw;7;en;26
range;7;en;26
boo;7;en;26
source;7;en;26
perpetrate;7;en;26
reuse;7;en;26
balance;7;en;26
delight;7;en;26
swim;7;en;26
plot;7;en;26
round;7;en;26
pmq;7;en;26
featureN;7;en;26
cochair;7;en;26
surpass;7;en;26
zoom;7;en;26
weave;7;en;26
wellbee;7;en;26
becomeN;7;en;26
innovate;7;en;26
fart;7;en;26
replant;7;en;26
inherit;7;en;26
rewire;7;en;26
theme;7;en;26
chart;7;en;26
brace;7;en;26
abolish;7;en;26
shun;7;en;26
betrayN;7;en;26
nudge;7;en;26
whoismisse;7;en;26
pontificate;7;en;26
vaccinate;7;en;26
flyN;7;en;26
brutalize;7;en;26
receiveN;7;en;26
compromiseN;6;en;26
sack;6;en;26
navigate;6;en;26
disguise;6;en;26
smash;6;en;26
mineN;6;en;26
applyN;6;en;26
catalyse;6;en;26
hideN;6;en;26
hinder;6;en;26
burst;6;en;26
mask;6;en;26
object;6;en;26
platforme;6;en;26
investN;6;en;26
createN;6;en;26
swap;6;en;26
loom;6;en;26
keepitintheground;6;en;26
muchneede;6;en;26
table;6;en;26
involveN;6;en;26
stumble;6;en;26
exercise;6;en;26
pen;6;en;26
stifle;6;en;26
search;6;en;26
articulate;6;en;26
pende;6;en;26
obtain;6;en;26
spotlight;6;en;26
steer;6;en;26
certify;6;en;26
answerN;6;en;26
stopfaile;6;en;26
glue;6;en;26
closeN;6;en;26
reflectN;6;en;26
recogniseN;6;en;26
bite;6;en;26
sue;6;en;26
chop;6;en;26
defeatN;6;en;26
tap;6;en;26
decolonize;6;en;26
kayburley;6;en;26
park;6;en;26
neglect;6;en;26
offerN;6;en;26
kofe;6;en;26
locate;6;en;26
loveN;6;en;26
deport;6;en;26
exempt;6;en;26
envision;6;en;26
sitN;6;en;26
grandstand;6;en;26
propel;6;en;26
bridge;6;en;26
tend;6;en;26
submerge;6;en;26
dwarf;6;en;26
diminish;6;en;26
slate;6;en;26
peel;6;en;26
brief;6;en;26
lag;6;en;26
counter;6;en;26
withstand;6;en;26
breastfeed;6;en;26
video;6;en;26
ferry;6;en;26
commute;6;en;26
imagineN;6;en;26
buzz;6;en;26
turnN;6;en;26
lend;6;en;26
excite;6;en;26
maximize;6;en;26
considerN;6;en;26
triple;6;en;26
discussN;6;en;26
tryN;6;en;26
deprive;6;en;26
singe;6;en;26
brave;6;en;26
flip;6;en;26
overlookN;6;en;26
underlie;6;en;26
dismantle;6;en;26
reachN;6;en;26
believeinscotland;6;en;26
dub;6;en;26
allege;6;en;26
bolster;6;en;26
commission;6;en;26
bill;6;en;26
outcome;5;en;26
phaseN;5;en;26
boast;5;en;26
seal;5;en;26
score;5;en;26
eg;5;en;26
salvage;5;en;26
cash;5;en;26
fame;5;en;26
distractN;5;en;26
evade;5;en;26
render;5;en;26
weep;5;en;26
finalize;5;en;26
swallow;5;en;26
warrant;5;en;26
upload;5;en;26
sentence;5;en;26
overrun;5;en;26
eradicate;5;en;26
killN;5;en;26
stun;5;en;26
kneel;5;en;26
attach;5;en;26
suppress;5;en;26
drain;5;en;26
circulate;5;en;26
stamp;5;en;26
harden;5;en;26
wade;5;en;26
bracket;5;en;26
snub;5;en;26
rein;5;en;26
empty;5;en;26
print;5;en;26
vest;5;en;26
sikulu;5;en;26
credit;5;en;26
industrialise;5;en;26
unmask;5;en;26
shop;5;en;26
cohost;5;en;26
underestimate;5;en;26
rememberN;5;en;26
bend;5;en;26
dawn;5;en;26
strip;5;en;26
employ;5;en;26
smoke;5;en;26
side;5;en;26
refocus;5;en;26
cheer;5;en;26
galvanise;5;en;26
revolutionise;5;en;26
depress;5;en;26
suit;5;en;26
disagree;5;en;26
stayN;5;en;26
uplift;5;en;26
overflow;5;en;26
float;5;en;26
stink;5;en;26
ease;5;en;26
participateN;5;en;26
censor;5;en;26
pedal;5;en;26
mainstreame;5;en;26
surui;5;en;26
criminalise;5;en;26
enrich;5;en;26
shoulder;5;en;26
shell;5;en;26
minimize;5;en;26
drinkN;5;en;26
survey;5;en;26
measureN;5;en;26
poise;5;en;26
laud;5;en;26
profile;5;en;26
reassure;5;en;26
lean;5;en;26
pin;5;en;26
rewrite;5;en;26
scrap;5;en;26
redesign;5;en;26
glasgow;5;en;26
nurture;5;en;26
reportN;5;en;26
devise;5;en;26
prompt;5;en;26
file;5;en;26
replaceN;5;en;26
adorn;5;en;26
alter;5;en;26
blog;5;en;26
contrast;5;en;26
pause;5;en;26
bearN;5;en;26
relocate;5;en;26
oversee;5;en;26
seat;5;en;26
energize;5;en;26
deepseamine;5;en;26
winN;5;en;26
prohibit;5;en;26
purchase;5;en;26
beach;5;en;26
distress;5;en;26
map;5;en;26
ope;5;en;26
joke;5;en;26
guard;5;en;26
perceive;5;en;26
coalfire;5;en;26
surviveN;5;en;26
fudge;5;en;26
sicken;5;en;26
bail;5;en;26
crash;5;en;26
correspond;5;en;26
emission;5;en;26
tame;5;en;26
interlink;5;en;26
pair;5;en;26
curate;5;en;26
gasguzzle;5;en;26
discredit;5;en;26
rot;5;en;26
backfire;5;en;26
usher;5;en;26
summit;5;en;26
deceive;5;en;26
guzzle;5;en;26
humanity;5;en;26
evacuate;5;en;26
research;5;en;26
troll;5;en;26
title;5;en;26
charter;5;en;26
legislate;5;en;26
marshal;5;en;26
celebrateN;4;en;26
clinch;4;en;26
punt;4;en;26
abuse;4;en;26
acknowledgeN;4;en;26
wrangle;4;en;26
stabilise;4;en;26
tolerate;4;en;26
batter;4;en;26
planetwarme;4;en;26
treatN;4;en;26
distance;4;en;26
pan;4;en;26
replenish;4;en;26
concede;4;en;26
judgeN;4;en;26
summarize;4;en;26
actonclimate;4;en;26
plague;4;en;26
brush;4;en;26
news;4;en;26
worldrenowne;4;en;26
mourn;4;en;26
fold;4;en;26
forgiveN;4;en;26
settleN;4;en;26
roar;4;en;26
huddle;4;en;26
readN;4;en;26
encircle;4;en;26
scroll;4;en;26
reward;4;en;26
screw;4;en;26
encounter;4;en;26
blameN;4;en;26
obscure;4;en;26
star;4;en;26
dilute;4;en;26
satisfy;4;en;26
chip;4;en;26
avoidN;4;en;26
stimulate;4;en;26
inhabit;4;en;26
defendN;4;en;26
bn;4;en;26
loss;4;en;26
appal;4;en;26
foot;4;en;26
belief;4;en;26
stretch;4;en;26
command;4;en;26
reform;4;en;26
fearN;4;en;26
weaponize;4;en;26
fundN;4;en;26
imprison;4;en;26
interconnect;4;en;26
replicate;4;en;26
crosscut;4;en;26
compile;4;en;26
recall;4;en;26
entertain;4;en;26
squander;4;en;26
deter;4;en;26
stoke;4;en;26
proceed;4;en;26
corrupt;4;en;26
conference;4;en;26
garner;4;en;26
relax;4;en;26
storm;4;en;26
undo;4;en;26
subject;4;en;26
benefitN;4;en;26
kid;4;en;26
clap;4;en;26
wander;4;en;26
mind;4;en;26
poseN;4;en;26
swoop;4;en;26
convinceN;4;en;26
unpick;4;en;26
realiseN;4;en;26
shirk;4;en;26
alert;4;en;26
scare;4;en;26
event;4;en;26
verify;4;en;26
confiscate;4;en;26
constrain;4;en;26
changerelate;4;en;26
pile;4;en;26
infect;4;en;26
marginalize;4;en;26
loose;4;en;26
limitN;4;en;26
goal;4;en;26
wed;4;en;26
air;4;en;26
appearN;4;en;26
