word;frequency;lang;cop
friday;127;en;26
vehicle;126;en;26
interest;126;en;26
security;125;en;26
dr;125;en;26
plant;125;en;26
protester;125;en;26
journey;125;en;26
union;124;en;26
else;124;en;26
process;124;en;26
tonne;124;en;26
britain;124;en;26
plastic;124;en;26
monday;123;en;26
responsibility;123;en;26
half;123;en;26
ago;123;en;26
russia;123;en;26
cycling;123;en;26
inside;122;en;26
language;122;en;26
travel;122;en;26
along;122;en;26
ceo;122;en;26
rally;122;en;26
focus;121;en;26
table;121;en;26
contribution;121;en;26
amazon;121;en;26
difference;120;en;26
central;120;en;26
currently;120;en;26
service;120;en;26
piece;120;en;26
trudeau;120;en;26
river;120;en;26
launch;119;en;26
case;119;en;26
open;119;en;26
destruction;119;en;26
brazil;119;en;26
fridaysforfuture;119;en;26
scale;118;en;26
course;118;en;26
short;118;en;26
north;118;en;26
region;118;en;26
independence;118;en;26
chief;117;en;26
whether;117;en;26
analysis;117;en;26
programme;117;en;26
main;117;en;26
interview;117;en;26
population;116;en;26
plenary;116;en;26
fire;116;en;26
mile;115;en;26
representative;115;en;26
underway;115;en;26
detail;114;en;26
force;114;en;26
house;114;en;26
trillion;114;en;26
general;113;en;26
hot;113;en;26
rise;113;en;26
second;113;en;26
show;112;en;26
african;112;en;26
activity;111;en;26
inclusive;111;en;26
emitter;111;en;26
letter;111;en;26
israel;111;en;26
rest;110;en;26
tv;110;en;26
uprootthesystem;110;en;26
chair;110;en;26
absolutely;109;en;26
deep;109;en;26
tuvalu;109;en;26
cdnpoli;109;en;26
capacity;109;en;26
record;108;en;26
brilliant;108;en;26
entire;108;en;26
marine;108;en;26
reason;108;en;26
image;108;en;26
politic;107;en;26
historic;107;en;26
ndc;107;en;26
ambassador;107;en;26
cambridge;107;en;26
advocate;106;en;26
pandemic;106;en;26
parisagreement;106;en;26
foreign;106;en;26
red;105;en;26
measure;105;en;26
boris;105;en;26
asleep;105;en;26
globaldayofaction;105;en;26
soon;104;en;26
catastrophe;104;en;26
climateactionnow;104;en;26
indian;104;en;26
organisation;104;en;26
law;103;en;26
matter;103;en;26
phase;103;en;26
path;103;en;26
cooperation;103;en;26
hundred;103;en;26
sideline;103;en;26
fantastic;103;en;26
pressure;102;en;26
protection;102;en;26
false;102;en;26
fm;102;en;26
citizen;102;en;26
journalist;102;en;26
flood;102;en;26
film;102;en;26
significant;101;en;26
bit;101;en;26
globe;101;en;26
platform;101;en;26
happy;101;en;26
mitigation;101;en;26
watch;101;en;26
tune;101;en;26
joint;101;en;26
total;100;en;26
euatcop;100;en;26
kid;100;en;26
electricity;100;en;26
growth;100;en;26
finally;99;en;26
yes;99;en;26
meaningful;99;en;26
network;99;en;26
order;99;en;26
visit;99;en;26
building;99;en;26
conservation;99;en;26
queen;99;en;26
sharma;98;en;26
mayor;98;en;26
result;98;en;26
beautiful;98;en;26
benefit;98;en;26
able;98;en;26
incredible;97;en;26
alternative;97;en;26
rather;97;en;26
drought;97;en;26
seriously;97;en;26
face;97;en;26
wildlife;97;en;26
attention;97;en;26
flight;97;en;26
park;97;en;26
behalf;96;en;26
royal;96;en;26
europe;96;en;26
responsible;96;en;26
waste;96;en;26
peatland;96;en;26
specie;96;en;26
view;95;en;26
alone;95;en;26
tax;95;en;26
ireland;95;en;26
snp;95;en;26
excited;95;en;26
warming;94;en;26
maldives;94;en;26
wrong;94;en;26
rule;94;en;26
corporate;94;en;26
bus;94;en;26
ice;93;en;26
john;93;en;26
choice;93;en;26
farming;93;en;26
gap;93;en;26
shri;93;en;26
executive;92;en;26
whilst;92;en;26
kenya;92;en;26
twitter;92;en;26
award;92;en;26
campaigner;91;en;26
release;91;en;26
info;91;en;26
atmosphere;91;en;26
series;91;en;26
collaboration;91;en;26
feminist;90;en;26
bill;90;en;26
dear;90;en;26
corporation;90;en;26
ceremony;90;en;26
extinction;90;en;26
amount;90;en;26
pact;89;en;26
sign;89;en;26
page;89;en;26
justtransition;89;en;26
concern;89;en;26
heat;89;en;26
address;89;en;26
duchess;89;en;26
concrete;88;en;26
worth;88;en;26
potential;88;en;26
paper;88;en;26
actonclimate;88;en;26
available;88;en;26
alongside;88;en;26
refugee;88;en;26
france;88;en;26
beach;88;en;26
weekend;87;en;26
term;87;en;26
list;87;en;26
greenwashing;87;en;26
station;87;en;26
name;87;en;26
lobbyist;87;en;26
elite;87;en;26
arctic;87;en;26
greta;87;en;26
weak;86;en;26
student;86;en;26
champion;86;en;26
common;86;en;26
later;86;en;26
evening;86;en;26
habitat;86;en;26
consequence;86;en;26
light;85;en;26
above;85;en;26
cut;85;en;26
game;85;en;26
delighted;85;en;26
knowledge;85;en;26
hydrogen;85;en;26
barbados;85;en;26
hypocrite;85;en;26
plane;85;en;26
bezos;85;en;26
alok;84;en;26
debate;83;en;26
winner;83;en;26
picture;83;en;26
assange;83;en;26
mine;83;en;26
hub;83;en;26
duke;83;en;26
remark;82;en;26
livelihood;82;en;26
office;82;en;26
fornature;82;en;26
inaction;82;en;26
information;82;en;26
share;81;en;26
dialogue;81;en;26
capitalism;81;en;26
truly;81;en;26
accessible;81;en;26
cause;81;en;26
cartoon;81;en;26
rainforest;81;en;26
warm;81;en;26
trip;81;en;26
israeli;81;en;26
collective;80;en;26
america;80;en;26
recent;80;en;26
inequality;80;en;26
stake;80;en;26
cover;80;en;26
often;80;en;26
approach;79;en;26
book;79;en;26
injustice;79;en;26
poverty;79;en;26
industrial;79;en;26
framework;79;en;26
west;79;en;26
standard;79;en;26
climatefinance;79;en;26
kind;79;en;26
pleasure;79;en;26
pension;79;en;26
colleague;78;en;26
likely;78;en;26
mp;78;en;26
dangerous;78;en;26
european;78;en;26
field;78;en;26
recovery;78;en;26
william;78;en;26
art;77;en;26
answer;77;en;26
wealthy;77;en;26
fellow;77;en;26
johnsonout;77;en;26
jeff;77;en;26
experience;76;en;26
catastrophic;76;en;26
phaseout;76;en;26
vision;76;en;26
profit;76;en;26
greenwash;76;en;26
worldwide;76;en;26
date;76;en;26
barack;76;en;26
blog;76;en;26
naturebasedsolution;76;en;26
wheelchair;76;en;26
germany;75;en;26
thought;75;en;26
race;75;en;26
immediate;75;en;26
devastating;75;en;26
clearly;75;en;26
ongoing;75;en;26
present;75;en;26
scotlands;75;en;26
farm;75;en;26
sdg;75;en;26
rome;75;en;26
vanessa;75;en;26
rain;75;en;26
deeply;74;en;26
sense;74;en;26
century;74;en;26
credit;74;en;26
five;74;en;26
excellent;74;en;26
states;74;en;26
wtpearth;74;en;26
bike;74;en;26
tweet;74;en;26
simply;73;en;26
busy;73;en;26
mary;73;en;26
secretarygeneral;73;en;26
help;73;en;26
board;73;en;26
simple;73;en;26
awareness;73;en;26
folk;72;en;26
hall;72;en;26
globally;72;en;26
care;72;en;26
literally;72;en;26
effective;72;en;26
meanwhile;72;en;26
throughout;72;en;26
ji;72;en;26
average;71;en;26
heating;71;en;26
gt;71;en;26
robinson;71;en;26
though;71;en;26
fully;71;en;26
tuesday;71;en;26
performance;71;en;26
four;71;en;26
livestream;70;en;26
sunday;70;en;26
tool;70;en;26
annual;70;en;26
mining;70;en;26
participation;70;en;26
eve;70;en;26
ghg;70;en;26
highlevel;70;en;26
labour;69;en;26
increase;69;en;26
usual;69;en;26
position;69;en;26
ten;69;en;26
pleased;69;en;26
rwanda;69;en;26
scene;68;en;26
giant;68;en;26
mention;68;en;26
crime;68;en;26
virtual;68;en;26
actnow;68;en;26
banner;68;en;26
urgently;67;en;26
act;67;en;26
successful;67;en;26
highlight;67;en;26
independent;67;en;26
brexit;67;en;26
quality;67;en;26
dollar;67;en;26
theme;67;en;26
afternoon;67;en;26
edinburgh;67;en;26
bangladesh;67;en;26
climatejusticenow;67;en;26
unless;66;en;26
feministclimatejustice;66;en;26
era;66;en;26
post;66;en;26
george;66;en;26
defender;66;en;26
reach;65;en;26
radical;65;en;26
todays;65;en;26
door;65;en;26
mind;65;en;26
urban;65;en;26
regional;65;en;26
corrupt;65;en;26
necessary;65;en;26
survival;64;en;26
consumption;64;en;26
whatever;64;en;26
comment;64;en;26
payuplossanddamage;64;en;26
quite;64;en;26
completely;64;en;26
selfie;64;en;26
lead;64;en;26
budget;64;en;26
excuse;64;en;26
directly;64;en;26
value;64;en;26
dirty;63;en;26
form;63;en;26
option;63;en;26
ecocide;63;en;26
saudi;63;en;26
finalist;63;en;26
saltiresunday;63;en;26
actor;62;en;26
maybe;62;en;26
disabled;62;en;26
wonderful;62;en;26
exactly;62;en;26
inspiring;62;en;26
mass;62;en;26
unable;62;en;26
dinner;62;en;26
assembly;62;en;26
french;62;en;26
climateactioninyourarea;62;en;26
macron;62;en;26
mother;61;en;26
wealth;61;en;26
nd;61;en;26
flag;61;en;26
practice;61;en;26
dairy;61;en;26
rail;61;en;26
founder;61;en;26
degradation;61;en;26
demonstration;61;en;26
reception;61;en;26
faith;60;en;26
third;60;en;26
administration;60;en;26
several;60;en;26
debt;60;en;26
envoy;60;en;26
lie;60;en;26
perspective;60;en;26
firm;60;en;26
pakistan;60;en;26
individual;60;en;26
product;60;en;26
wednesday;60;en;26
peace;60;en;26
sky;60;en;26
sewage;60;en;26
restoration;60;en;26
indonesia;59;en;26
culture;59;en;26
supply;59;en;26
bridge;59;en;26
easy;59;en;26
center;59;en;26
mia;59;en;26
ally;59;en;26
presidencyofhope;59;en;26
narendra;59;en;26
class;58;en;26
exclusive;58;en;26
program;58;en;26
facility;58;en;26
rate;58;en;26
everywhere;58;en;26
study;58;en;26
site;58;en;26
ipcc;58;en;26
supporter;58;en;26
worldclimatemarch;58;en;26
guide;57;en;26
brief;57;en;26
deputy;57;en;26
pres;57;en;26
lord;57;en;26
transformation;57;en;26
billionaire;57;en;26
implementation;57;en;26
equality;57;en;26
corruption;57;en;26
dontchooseextinction;57;en;26
racetozero;57;en;26
soil;57;en;26
active;57;en;26
cheap;57;en;26
conflict;57;en;26
mission;57;en;26
santos;57;en;26
absolute;56;en;26
western;56;en;26
uks;56;en;26
revolution;56;en;26
none;56;en;26
danger;56;en;26
min;56;en;26
town;56;en;26
black;56;en;26
guest;56;en;26
probably;55;en;26
sun;55;en;26
headline;55;en;26
officially;55;en;26
glasgowcop;55;en;26
forum;55;en;26
nice;55;en;26
gov;55;en;26
ton;55;en;26
particularly;55;en;26
existential;55;en;26
age;55;en;26
glacier;55;en;26
julian;55;en;26
canadian;55;en;26
environmentalist;55;en;26
domestic;55;en;26
driver;54;en;26
relationship;54;en;26
whose;54;en;26
quick;54;en;26
momentum;54;en;26
limit;54;en;26
naturepositive;54;en;26
cycle;54;en;26
cold;54;en;26
mr;54;en;26
extraction;54;en;26
producer;54;en;26
pipeline;54;en;26
sdgs;54;en;26
tech;54;en;26
palestinian;54;en;26
grid;54;en;26
management;54;en;26
institution;54;en;26
scots;54;en;26
rapidly;53;en;26
stream;53;en;26
innovative;53;en;26
smart;53;en;26
unabated;53;en;26
complete;53;en;26
kerry;53;en;26
australias;53;en;26
festival;53;en;26
chinese;53;en;26
friendly;53;en;26
attendee;53;en;26
pr;53;en;26
pathway;53;en;26
aviation;53;en;26
apart;53;en;26
club;53;en;26
embarrassing;53;en;26
warrior;53;en;26
direction;52;en;26
insight;52;en;26
document;52;en;26
pretty;52;en;26
ecological;52;en;26
loud;52;en;26
briefing;52;en;26
reef;52;en;26
exciting;52;en;26
maldivesatcop;52;en;26
apparently;51;en;26
toward;51;en;26
shift;51;en;26
willing;51;en;26
indias;51;en;26
personal;51;en;26
chat;51;en;26
mps;51;en;26
lowcarbon;51;en;26
pic;51;en;26
migration;51;en;26
zimbabwe;51;en;26
endclimateimperialism;51;en;26
kelvingrove;51;en;26
nowhere;50;en;26
actual;50;en;26
glad;50;en;26
difficult;50;en;26
engagement;50;en;26
bin;50;en;26
et;50;en;26
battle;50;en;26
equitable;50;en;26
taxpayer;50;en;26
extremely;50;en;26
fear;50;en;26
sentence;50;en;26
rebellion;50;en;26
move;50;en;26
aid;50;en;26
usa;50;en;26
bc;50;en;26
gw;50;en;26
podcast;50;en;26
coral;50;en;26
dioxide;50;en;26
honour;50;en;26
warning;50;en;26
xi;50;en;26
capita;49;en;26
evidence;49;en;26
plus;49;en;26
hey;49;en;26
mechanism;49;en;26
crowd;49;en;26
proposal;49;en;26
vaccine;49;en;26
vegan;49;en;26
healthyclimate;49;en;26
neutral;49;en;26
petition;49;en;26
territory;49;en;26
gulf;48;en;26
middle;48;en;26
however;48;en;26
unprecedented;48;en;26
stark;48;en;26
combat;48;en;26
package;48;en;26
mexico;48;en;26
context;48;en;26
iran;48;en;26
attempt;48;en;26
midnight;48;en;26
greenrwanda;48;en;26
disability;48;en;26
rhetoric;47;en;26
inclusion;47;en;26
claim;47;en;26
james;47;en;26
struggle;47;en;26
rapid;47;en;26
delay;47;en;26
surprise;47;en;26
angry;47;en;26
transparency;47;en;26
joke;47;en;26
white;47;en;26
couple;47;en;26
display;47;en;26
decisive;47;en;26
note;47;en;26
vast;47;en;26
mark;47;en;26
episode;47;en;26
denmark;47;en;26
yearold;47;en;26
regime;47;en;26
charles;47;en;26
surely;47;en;26
hon;47;en;26
klimalaya;47;en;26
code;46;en;26
increasingly;46;en;26
greenpeace;46;en;26
previous;46;en;26
celsius;46;en;26
dead;46;en;26
demvoice;46;en;26
yr;46;en;26
test;46;en;26
ill;46;en;26
reporter;46;en;26
fiji;46;en;26
topic;46;en;26
storm;46;en;26
capital;46;en;26
mistake;46;en;26
virtually;46;en;26
onto;46;en;26
transportation;46;en;26
nakate;46;en;26
listentotheocean;46;en;26
empowerment;46;en;26
authority;46;en;26
shame;45;en;26
hell;45;en;26
staff;45;en;26
affordable;45;en;26
stand;45;en;26
humanright;45;en;26
peat;45;en;26
expectation;45;en;26
scam;45;en;26
stuff;45;en;26
immediately;45;en;26
freeassangenow;45;en;26
england;45;en;26
respect;45;en;26
wide;45;en;26
planning;45;en;26
costofnetzero;45;en;26
condition;45;en;26
hrh;45;en;26
majority;44;en;26
channel;44;en;26
lifestyle;44;en;26
guardian;44;en;26
basic;44;en;26
breakthrough;44;en;26
chaos;44;en;26
joe;44;en;26
village;44;en;26
seat;44;en;26
buildbackbetter;44;en;26
border;44;en;26
prize;44;en;26
drilling;44;en;26
investor;44;en;26
ad;44;en;26
mobility;44;en;26
account;44;en;26
god;43;en;26
disastrous;43;en;26
intervention;43;en;26
double;43;en;26
moral;43;en;26
version;43;en;26
cash;43;en;26
figure;43;en;26
sorry;43;en;26
livestock;43;en;26
aus;43;en;26
cambo;43;en;26
resistance;43;en;26
grave;43;en;26
capture;43;en;26
presence;43;en;26
scientific;43;en;26
whale;43;en;26
philippines;43;en;26
dozen;43;en;26
poem;43;en;26
wetland;43;en;26
thursday;43;en;26
artist;43;en;26
beginning;42;en;26
model;42;en;26
american;42;en;26
lesson;42;en;26
diplomacy;42;en;26
violence;42;en;26
legal;42;en;26
turning;42;en;26
behaviour;42;en;26
japan;42;en;26
amid;42;en;26
balance;42;en;26
organization;42;en;26
hotel;42;en;26
climatestrike;42;en;26
sale;42;en;26
stop;42;en;26
backdoor;42;en;26
square;42;en;26
york;42;en;26
halloween;42;en;26
insider;41;en;26
colonialism;41;en;26
courage;41;en;26
climateactionwbg;41;en;26
sight;41;en;26
trust;41;en;26
east;41;en;26
hero;41;en;26
totally;41;en;26
kenyatta;41;en;26
activism;41;en;26
range;41;en;26
university;41;en;26
naturebased;41;en;26
control;41;en;26
ticket;41;en;26
democracy;41;en;26
officer;41;en;26
continent;41;en;26
shell;41;en;26
rainbow;41;en;26
italy;41;en;26
severe;41;en;26
check;41;en;26
digital;41;en;26
exhibition;41;en;26
salmon;41;en;26
deliverclimate;41;en;26
direct;40;en;26
rep;40;en;26
victim;40;en;26
km;40;en;26
location;40;en;26
assessment;40;en;26
researcher;40;en;26
wellbeing;40;en;26
copout;40;en;26
fishing;40;en;26
spirit;40;en;26
representation;40;en;26
expansion;40;en;26
heritage;40;en;26
thismachinefightsclimatechange;40;en;26
justin;40;en;26
stopcambo;40;en;26
disproportionately;40;en;26
contributor;40;en;26
parent;40;en;26
hunger;40;en;26
keepitintheground;40;en;26
yourself;40;en;26
bloc;40;en;26
forefront;40;en;26
motorcade;40;en;26
situation;39;en;26
honest;39;en;26
love;39;en;26
islands;39;en;26
additional;39;en;26
six;39;en;26
planetary;39;en;26
inefficient;39;en;26
convention;39;en;26
church;39;en;26
zoom;39;en;26
interested;39;en;26
simon;39;en;26
govts;39;en;26
wedonthavetime;39;en;26
prof;39;en;26
decarbonisation;39;en;26
commission;39;en;26
canadas;39;en;26
editor;39;en;26
arabia;39;en;26
website;39;en;26
october;39;en;26
airpollution;39;en;26
gate;39;en;26
delivery;39;en;26
sport;39;en;26
various;39;en;26
significantly;39;en;26
copgda;39;en;26
observer;38;en;26
colonial;38;en;26
disappointment;38;en;26
anger;38;en;26
credibility;38;en;26
flooding;38;en;26
sad;38;en;26
unacceptable;38;en;26
treaty;38;en;26
overseas;38;en;26
privilege;38;en;26
round;38;en;26
creation;38;en;26
steel;38;en;26
equivalent;38;en;26
colombia;38;en;26
congratulation;38;en;26
super;38;en;26
youtube;38;en;26
ban;38;en;26
maker;38;en;26
mottley;38;en;26
housing;38;en;26
straight;38;en;26
coastal;38;en;26
antonio;38;en;26
asset;38;en;26
madagascar;38;en;26
demo;38;en;26
unique;38;en;26
asia;38;en;26
scout;38;en;26
blackpink;38;en;26
liar;38;en;26
recognition;37;en;26
pelosi;37;en;26
destructive;37;en;26
perhaps;37;en;26
humanitarian;37;en;26
offset;37;en;26
betrayal;37;en;26
accord;37;en;26
duty;37;en;26
landscape;37;en;26
fundamental;37;en;26
having;37;en;26
airport;37;en;26
protestor;37;en;26
freedom;37;en;26
unionist;37;en;26
commonwealth;37;en;26
rd;37;en;26
ordinary;37;en;26
children;37;en;26
taxis;37;en;26
highly;37;en;26
bluecarbon;37;en;26
costa;37;en;26
rica;37;en;26
grassland;37;en;26
gretathunberg;37;en;26
incredibly;36;en;26
bilateral;36;en;26
read;36;en;26
criminal;36;en;26
uhuru;36;en;26
spin;36;en;26
sake;36;en;26
foundation;36;en;26
heavy;36;en;26
window;36;en;26
equity;36;en;26
longterm;36;en;26
rural;36;en;26
neutrality;36;en;26
trump;36;en;26
icymi;36;en;26
mostly;36;en;26
breakdown;36;en;26
coast;36;en;26
foodsystem;36;en;26
manchester;36;en;26
bond;36;en;26
safety;36;en;26
diet;36;en;26
sceptic;36;en;26
kingdom;36;en;26
nepal;36;en;26
app;36;en;26
menu;36;en;26
transportday;36;en;26
tibet;36;en;26
entirely;35;en;26
influence;35;en;26
core;35;en;26
zealand;35;en;26
perfect;35;en;26
bottom;35;en;26
traditional;35;en;26
lobby;35;en;26
content;35;en;26
doubt;35;en;26
copglasow;35;en;26
opinion;35;en;26
charity;35;en;26
embarrassment;35;en;26
clyde;35;en;26
break;35;en;26
sweden;35;en;26
fringe;35;en;26
nhs;35;en;26
impossible;35;en;26
illegal;35;en;26
aim;35;en;26
expensive;35;en;26
shared;35;en;26
sg;35;en;26
legislation;35;en;26
publication;35;en;26
advisor;35;en;26
audience;35;en;26
indeed;34;en;26
apartheid;34;en;26
guy;34;en;26
achievement;34;en;26
map;34;en;26
committee;34;en;26
barely;34;en;26
efficient;34;en;26
denial;34;en;26
oct;34;en;26
belfast;34;en;26
election;34;en;26
senior;34;en;26
push;34;en;26
woodland;34;en;26
