mention;frequency;lang;cop
@ggjalliance;8;en;26
@lucianatellez;8;en;26
@wbcsd;8;en;26
@landworkersuk;8;en;26
@native_mvmt;8;en;26
@ebrd;8;en;26
@angusrobertson;8;en;26
@damilolasdg7;8;en;26
@wikileaks;8;en;26
@google;8;en;26
@elliegoulding;8;en;26
@avantiwestcoast;8;en;26
@friends_earth;8;en;26
@nfutweets;8;en;26
@stopcorpabuse;8;en;26
@nickmangwana;8;en;26
@malala;8;en;26
@itvhub;8;en;26
@wearestv;8;en;26
@andrewholnessjm;8;en;26
@parents4future;8;en;26
@jairam_ramesh;8;en;26
@ygofficialblink;8;en;26
@time;8;en;26
@rebecca_miano;8;en;26
@jensstoltenberg;8;en;26
@morawieckim;8;en;26
@palazzo_chigi;8;en;26
@putneyfleur;8;en;26
@railtothecop;8;en;26
@sinnfeinireland;7;en;26
@standearth;7;en;26
@keir_starmer;7;en;26
@campanalemark;7;en;26
@plant_treaty;7;en;26
@dwallacewells;7;en;26
@profstrachan;7;en;26
@ndcpartnership;7;en;26
@courtghoward;7;en;26
@piersforster;7;en;26
@earthjournalism;7;en;26
@interior;7;en;26
@bellalack;7;en;26
@scientistrebel1;7;en;26
@agcolehamilton;7;en;26
@chris_boardman;7;en;26
@bhavreenmk;7;en;26
@icccad;7;en;26
@lornaslater;7;en;26
@wedo_worldwide;7;en;26
@lgacomms;7;en;26
@andreameza76;7;en;26
@nakabuyehildaf;7;en;26
@ukhealthclimate;7;en;26
@curieuxexplorer;7;en;26
@theccoalition;7;en;26
@ccacoalition;7;en;26
@rtenews;7;en;26
@woodlandtrust;7;en;26
@statedept;7;en;26
@cjaourpower;7;en;26
@fcdogec;7;en;26
@churchscotland;7;en;26
@unocha;7;en;26
@bbcscotland;7;en;26
@transcotland;7;en;26
@mkvaalst;7;en;26
@climateheritage;7;en;26
@ida_crpd_forum;7;en;26
@gcarbonproject;7;en;26
@basilseggos;7;en;26
@guajajarasonia;7;en;26
@theage;7;en;26
@mongabay;7;en;26
@amanwy;7;en;26
@pscotlandcsg;7;en;26
@naomiaklein;7;en;26
@imohq;7;en;26
@amnesty;7;en;26
@us_center;7;en;26
@agnes_kalibata;7;en;26
@oneyoungworld;7;en;26
@geraldkutney;7;en;26
@histenvscot;7;en;26
@stellamoris1;7;en;26
@futureearth;7;en;26
@vickyford;7;en;26
@latimes;7;en;26
@gcadaptation;7;en;26
@tedtalks;7;en;26
@tedcountdown;7;en;26
@stwuk;7;en;26
@salesforce;7;en;26
@mairigougeon;7;en;26
@globalcompact;7;en;26
@eve_chantel;7;en;26
@climate;7;en;26
@edenproject;7;en;26
@clim8resistance;7;en;26
@corporateeurope;7;en;26
@gaellemogli;7;en;26
@usambuk;7;en;26
@worldscouting;7;en;26
@xiyebastida;7;en;26
@norwaymfa;7;en;26
@environmentca;7;en;26
@maddow;7;en;26
@dailymirror;7;en;26
@secdebhaaland;7;en;26
@norfolkcc;7;en;26
@francoislegault;7;en;26
@envirodefence;7;en;26
@thesmi;7;en;26
@guardianesbos;7;en;26
@kengenkenya;7;en;26
@alexanderdecroo;7;en;26
@premnsikka;7;en;26
@clydescouts;7;en;26
@ifc_org;6;en;26
@cclimateaction;6;en;26
@msnbc;6;en;26
@climatereality;6;en;26
@envoyrmi;6;en;26
@hacoalition;6;en;26
@unfpa;6;en;26
@hausfath;6;en;26
@bbcjustinr;6;en;26
@farhanaclimate;6;en;26
@resolutereader;6;en;26
@alex_callinicos;6;en;26
@protect_wldlife;6;en;26
@peteregan6;6;en;26
@ivy_middletonuk;6;en;26
@robrobbedwards;6;en;26
@bbcnewsnight;6;en;26
@joerirogelj;6;en;26
@nicochan33;6;en;26
@galgael;6;en;26
@actionaid;6;en;26
@warriormomsin;6;en;26
@carltonreid;6;en;26
@univofstandrews;6;en;26
@moenvmv;6;en;26
@iipfcc;6;en;26
@maimunahsharif;6;en;26
@maisie_williams;6;en;26
@msjodieevans;6;en;26
@chboursin;6;en;26
@nevillegaunt;6;en;26
@newstatesman;6;en;26
@glasgow_times;6;en;26
@heraldscotland;6;en;26
@catabreu_;6;en;26
@ramsarconv;6;en;26
@brkfreeplastic;6;en;26
@santosltd;6;en;26
@ani;6;en;26
@sadiqkhan;6;en;26
@mahaenvcc;6;en;26
@bostonglobe;6;en;26
@nffnuk;6;en;26
@scottishpower;6;en;26
@ecocidelaw;6;en;26
@eamonryan;6;en;26
@iucnpeat;6;en;26
@minpres;6;en;26
@mayors4climate;6;en;26
@gsc1;6;en;26
@tomoprater;6;en;26
@totalenergies;6;en;26
@fiaformulae;6;en;26
@epa;6;en;26
@danielbleakley;6;en;26
@iucn;6;en;26
@ifad;6;en;26
@living_rent;6;en;26
@greenfundrw;6;en;26
@oxfamscotland;6;en;26
@arupgroup;6;en;26
@headundrr;6;en;26
@jonathan_k_cook;6;en;26
@epamichaelregan;6;en;26
@govkathyhochul;6;en;26
@allegracop26;6;en;26
@txsharon;6;en;26
@deeplearn007;6;en;26
@tonyjuniper;6;en;26
@stormhour;6;en;26
@nicholamallon;6;en;26
@ungei;6;en;26
@greenanglicans;6;en;26
@worldbeyondwar;6;en;26
@docsforclimate;6;en;26
@rca;6;en;26
@strathunion;6;en;26
@selwinhart;6;en;26
@breakingviews;6;en;26
@ibrahimthiaw;6;en;26
@minette_batters;6;en;26
@elizabethmay;6;en;26
@nancymancias;6;en;26
@cbcnews;6;en;26
@sabrinadhowre;6;en;26
@ambgamal;6;en;26
@doreen_m_harris;6;en;26
@chefgov_ma;6;en;26
@domdyer70;6;en;26
@scottishlabour;6;en;26
@stvincentsl12;6;en;26
@mattmcgrathbbc;6;en;26
@ifadpresident;6;en;26
@juliejamesms;6;en;26
@globaljusticeuk;6;en;26
@emmawatson;6;en;26
@stopadanicairns;6;en;26
@climateguyw;6;en;26
@pawlowskimario;6;en;26
@arikring;6;en;26
@cop26brum;6;en;26
@bishopnorwich;6;en;26
@tuntiakkatan;6;en;26
@cop26ireland;6;en;26
@livijgraham;6;en;26
@globalgreens;6;en;26
@luisamneubauer;6;en;26
@cafreeland;6;en;26
@sbsnews;6;en;26
@fff_glasgow;6;en;26
@borgebrende;6;en;26
@brianvad;6;en;26
@candicemalcolm;6;en;26
@adb_hq;6;en;26
@mikaelaloach;6;en;26
@mvpeoplesmajlis;6;en;26
@copuniversities;6;en;26
@domipalmer;6;en;26
@iscotnews;6;en;26
@lorddeben;6;en;26
@conv_citoyenne;6;en;26
@sdhamiltonvic;6;en;26
@leilarbenali;6;en;26
@kelvingroveart;6;en;26
@sharanburrow;6;en;26
@mayorofla;6;en;26
@diannakopansky;6;en;26
@gmb_union;6;en;26
@bbceastenders;6;en;26
@gina_mccarthy;6;en;26
@stanchart;6;en;26
@jeancastex;6;en;26
@walela15;6;en;26
@spectator;6;en;26
@jonasgahrstore;6;en;26
@benoquist;6;en;26
@simonllewis;5;en;26
@dpcarrington;5;en;26
@adambienkov;5;en;26
@thecccuk;5;en;26
@fionaharvey;5;en;26
@francescorocca;5;en;26
@lossanddamage;5;en;26
@bmz_bund;5;en;26
@mremae;5;en;26
@watts_nick;5;en;26
@calsleeper;5;en;26
@letsgo_zero;5;en;26
@ashden_org;5;en;26
@jillwarrenecf;5;en;26
@medmezghani;5;en;26
@lossdamageyouth;5;en;26
@cbthunting;5;en;26
@rickygervais;5;en;26
@animal_watch;5;en;26
@greenrupertread;5;en;26
@unimelb;5;en;26
@nordichorizons;5;en;26
@chloefarand;5;en;26
@forbes;5;en;26
@torontostar;5;en;26
@globalcommonshq;5;en;26
@jblefevre60;5;en;26
@gvalan;5;en;26
@fabriziobustama;5;en;26
@ericdnjuguna;5;en;26
@realstephenkerr;5;en;26
@thejournal_ie;5;en;26
@ed_hawkins;5;en;26
@jeroenbartelse;5;en;26
@fatoulaminjeng1;5;en;26
@thelancetplanet;5;en;26
@morningireland;5;en;26
@climatecouncil;5;en;26
@davidnabarro;5;en;26
@debraruh;5;en;26
@hsiglobal;5;en;26
@jeromefosterii;5;en;26
@glennbbc;5;en;26
@wolfblitzer;5;en;26
@ilo;5;en;26
@gavinnewsom;5;en;26
@barclays;5;en;26
@kwasikwarteng;5;en;26
@climatejust4all;5;en;26
@undpclimate;5;en;26
@lizgulaz;5;en;26
@officeofut;5;en;26
@jacindaardern;5;en;26
@priestleycentre;5;en;26
@daisydunnesci;5;en;26
@gordonbrown;5;en;26
@brdbank;5;en;26
@faoforestry;5;en;26
@oxfamgb;5;en;26
@merynewarah;5;en;26
@greenbeltmovmnt;5;en;26
@pascoesabido;5;en;26
@detroit67book;5;en;26
@chase;5;en;26
@jennygilruth;5;en;26
@tssaunion;5;en;26
@tyndallcentre;5;en;26
@profmarkmaslin;5;en;26
@jjhorgan;5;en;26
@oecd;5;en;26
@uksciencechief;5;en;26
@kiptoock;5;en;26
@windywilson88;5;en;26
@argyll_islesapp;5;en;26
@etc_energy;5;en;26
@nbstv;5;en;26
@rharrabin;5;en;26
@sumakhelena;5;en;26
@pcharlesjr;5;en;26
@pontifex;5;en;26
@esa_eo;5;en;26
@guardianaus;5;en;26
@nbcnews;5;en;26
@washingtonpost;5;en;26
@wsj;5;en;26
@alexanderdowner;5;en;26
@billhareclimate;5;en;26
@c4ciaran;5;en;26
@cbmuk;5;en;26
@siemens;5;en;26
@palkisu;5;en;26
@patagonia;5;en;26
@orraanews;5;en;26
@scottishtuc;5;en;26
@alanjope;5;en;26
@cen_climatenews;5;en;26
@bas_news;5;en;26
@eurostaruk;5;en;26
@copernicuseu;5;en;26
@farzanajhumu;5;en;26
@wfp;5;en;26
@eu2021si;5;en;26
@swetac;5;en;26
@imrankhanpti;5;en;26
@christianonre;5;en;26
@ssab_ab;5;en;26
@icrc;5;en;26
@gzeromedia;5;en;26
@plymouthmarine;5;en;26
@mcannonbrookes;5;en;26
@birdgirluk;5;en;26
@ilri;5;en;26
@kirillklip;5;en;26
@ristori20;5;en;26
@hanslak;5;en;26
@seth_leitman;5;en;26
@charluv2011;5;en;26
@jackthelad1947;5;en;26
@margaretsiegien;5;en;26
@afp;5;en;26
@cop26_xr;5;en;26
@wysscampaign;5;en;26
@coicaorg;5;en;26
@cllrtkerr;5;en;26
@bbcpolitics;5;en;26
@mishcon_de_reya;5;en;26
@erinotoole;5;en;26
@gpforeducation;5;en;26
@bbcdoctors;5;en;26
@bbcholbycity;5;en;26
@financeincommon;5;en;26
@secvilsack;5;en;26
@oceanpanel;5;en;26
@louisianagov;5;en;26
@pattrn;5;en;26
@douglas4moray;5;en;26
@citizentommy;5;en;26
@brawday;5;en;26
@telegraph;5;en;26
@jy_ledrian;5;en;26
@networkrailglc;5;en;26
@phantompower14;5;en;26
@fogle_shane;5;en;26
@ikeafoundation;5;en;26
@icrscoralreefs;5;en;26
@greenpeaceap;5;en;26
@mclarenxe;5;en;26
@flacqua;5;en;26
@davidshukmanbbc;5;en;26
@dropthedebt;5;en;26
@abdulla_shahid;5;en;26
@zelenskyyua;5;en;26
@hollyoaks;5;en;26
@europarl_en;5;en;26
@moneillsf;5;en;26
@lassoguillermo;5;en;26
@femnetprog;4;en;26
@cortsgina;4;en;26
@pritipatel;4;en;26
@europeangreens;4;en;26
@eddypc;4;en;26
@gabucher;4;en;26
@bmz_climate;4;en;26
@fijiag;4;en;26
@josh_gabbatiss;4;en;26
@ajeansu;4;en;26
@rspotweets;4;en;26
@metoffice_sci;4;en;26
@veritree_;4;en;26
@lner;4;en;26
@nadhimzahawi;4;en;26
@bronwenthornton;4;en;26
@birdlife_ceo;4;en;26
@stopeacop;4;en;26
@ericholthaus;4;en;26
@bridsmithtd;4;en;26
@euronewsgreen;4;en;26
@nicktaylorllb;4;en;26
@darren_cullen;4;en;26
@oikoumene;4;en;26
@enricomolinari;4;en;26
@liberalaus;4;en;26
@govpritzker;4;en;26
@alexepstein;4;en;26
@morricemike;4;en;26
@thelilynews;4;en;26
@jonathanwatts;4;en;26
@raki_ap1;4;en;26
@freewestpapua;4;en;26
@moreglasgow;4;en;26
@haroldsinnott;4;en;26
@lesliehook;4;en;26
@anjaliapp;4;en;26
@ciel_tweets;4;en;26
@galdemzine;4;en;26
@gowildforbees;4;en;26
@netpol;4;en;26
@wwfscotland;4;en;26
@nadiawhittomemp;4;en;26
@foodtank;4;en;26
@rapplerdotcom;4;en;26
@opiniumresearch;4;en;26
@unchildrights1;4;en;26
@cassie_flynn;4;en;26
@emorwee;4;en;26
@markruskell;4;en;26
@aaronrutkoff;4;en;26
@harrywilkinsonn;4;en;26
@kavnaidu;4;en;26
@libdemlocalgov;4;en;26
@the_ecologist;4;en;26
@emberclimate;4;en;26
@ukinnigeria;4;en;26
@olumideidowu;4;en;26
@eveningstandard;4;en;26
@nationalgriduk;4;en;26
@ernestowcoutts;4;en;26
@drrashidsumaila;4;en;26
@tracybrabin;4;en;26
@rhiannon_osborn;4;en;26
@ukycc;4;en;26
@pow_rebecca;4;en;26
@earthtocop;4;en;26
@nordenen;4;en;26
@sudarsansand;4;en;26
@aidanrgallagher;4;en;26
@drjdrooghaag;4;en;26
@baski_la;4;en;26
@irishtimes;4;en;26
@bycs_org;4;en;26
@worldymca;4;en;26
@ifnotus_thenwho;4;en;26
@climatecomms;4;en;26
@prcnepal;4;en;26
@practicalaction;4;en;26
@lesswastelaura;4;en;26
@cities4children;4;en;26
@cmomaharashtra;4;en;26
@rcmrd_;4;en;26
@y4nature;4;en;26
@deptofdefense;4;en;26
@drshtayyeh;4;en;26
@euclimateaction;4;en;26
@nisreenelsaim;4;en;26
@juliagillard;4;en;26
@danilic;4;en;26
@smh;4;en;26
@pedalmeapp;4;en;26
@france24;4;en;26
@coveringclimate;4;en;26
@lunguk;4;en;26
@gri_lse;4;en;26
@ashamohammed_;4;en;26
@ninagualinga;4;en;26
@ca_latest;4;en;26
@benioff;4;en;26
@blackrock;4;en;26
@regner_asa;4;en;26
@gregoriomirabal;4;en;26
@brspirituality;4;en;26
@albomp;4;en;26
@mccaguam;4;en;26
@bmu;4;en;26
@womenslibrary;4;en;26
@vivarail;4;en;26
@getglesgamoving;4;en;26
@ubadr;4;en;26
@actalliance;4;en;26
@glasgowbotanic;4;en;26
@aslefunion;4;en;26
@ipfconline1;4;en;26
@porterbrookrail;4;en;26
@financialtimes;4;en;26
@mayorofgm;4;en;26
@laudatosimvmt;4;en;26
@islamicreliefuk;4;en;26
@unctad;4;en;26
@agnescallamard;4;en;26
@theipaper;4;en;26
@cambridgezero;4;en;26
@londonmining;4;en;26
@kasa_malaysia;4;en;26
@cambridge_uni;4;en;26
@anglialliance;4;en;26
@futureoffoodorg;4;en;26
@ycawales;4;en;26
@mason4c;4;en;26
@theprojecttv;4;en;26
@kishida230;4;en;26
@sprasadfj;4;en;26
@dwnews;4;en;26
@foxnews;4;en;26
@guardiannews;4;en;26
@salmonalliance;4;en;26
@greenparty_ie;4;en;26
@thewcs;4;en;26
@lucasjoppa;4;en;26
@adrianramsay;4;en;26
@cleanairfund;4;en;26
@tuvalugov;4;en;26
@goa_on;4;en;26
@foodsystems;4;en;26
@snvworld;4;en;26
@n1infosa;4;en;26
@ids_uk;4;en;26
@tomhfh;4;en;26
@linkedin;4;en;26
@precop26ita;4;en;26
@chadfrischmann;4;en;26
@crystalchissell;4;en;26
@robinpomeroyed;4;en;26
@pb4p;4;en;26
@deespeak;4;en;26
@vsinkevicius;4;en;26
@deloitteuk;4;en;26
@climatecrisisag;4;en;26
@vijayprashad;4;en;26
@nercscience;4;en;26
@oregongovbrown;4;en;26
@cif_action;4;en;26
@via_campesina;4;en;26
@iandunt;4;en;26
@capplanners;4;en;26
@cdknetwork;4;en;26
@agnchairunfccc;4;en;26
@tzeporah;4;en;26
@chokedup_uk;4;en;26
@fordfoundation;4;en;26
@wellcometrust;4;en;26
@astro_timpeake;4;en;26
@earlyactionreap;4;en;26
@nyserda;4;en;26
@networkrailscot;4;en;26
@iied;4;en;26
@belperbarlow;4;en;26
@emilybeament;4;en;26
@chathamhouse;4;en;26
@fbunational;4;en;26
@ymalhi;4;en;26
@loisperry26;4;en;26
@bnfcio;4;en;26
@claretotty;4;en;26
@drtedros;4;en;26
@simonmundy;4;en;26
@martindaubney;4;en;26
@educationgovuk;4;en;26
@nathalieseddon;4;en;26
@ocean_climate;4;en;26
@globalfundcoral;4;en;26
@axa;4;en;26
@n_t_s;4;en;26
@kagutamuseveni;4;en;26
@openuniversity;4;en;26
@fortescuefuture;4;en;26
@anthonyfurey;4;en;26
@amazingchevvolt;4;en;26
@capatosta122;4;en;26
@nationaltrust;4;en;26
@party4animals;4;en;26
@anjahazekamp;4;en;26
@animalscount;4;en;26
@survival;4;en;26
@futerra;4;en;26
@unuehs;4;en;26
@lindalacina;4;en;26
@ecosia;4;en;26
@clarebaileygpni;4;en;26
@davidmalpasswbg;4;en;26
@secretarylevine;4;en;26
@sheffieldgreens;4;en;26
@oxfordfoe1;4;en;26
@kenyaredcross;4;en;26
@epamaldives;4;en;26
@theworldslesson;4;en;26
@gndrising;4;en;26
@industriall_gu;4;en;26
@bluemarinef;4;en;26
@edwinnamakanga;4;en;26
@caledoniannews;4;en;26
@ch4observatory;4;en;26
@nelsonchamisa;4;en;26
@destinationpk;4;en;26
@jenimiller;4;en;26
