term;frequency;lang;cop
loss;373;en;26
decision;370;en;26
reach;369;en;26
bad;367;en;26
yet;365;en;26
step;363;en;26
company;357;en;26
create;355;en;26
leadership;353;en;26
clear;352;en;26
challenge;350;en;26
place;349;en;26
level;349;en;26
stand;346;en;26
phase;343;en;26
paris;343;en;26
biodiversity;341;en;26
update;340;en;26
rich;339;en;26
mean;339;en;26
statement;337;en;26
everyone;336;en;26
video;335;en;26
science;334;en;26
powerful;333;en;26
auspol;332;en;26
vulnerable;330;en;26
#auspol;329;en;26
hold;326;en;26
@borisjohnson;325;en;26
try;325;en;26
text;324;en;26
economy;324;en;26
progress;323;en;26
large;323;en;26
car;323;en;26
tree;322;en;26
open;321;en;26
group;320;en;26
highlight;320;en;26
meeting;319;en;26
discussion;319;en;26
ahead;317;en;26
local;316;en;26
ensure;316;en;26
@narendramodi;315;en;26
agree;314;en;26
urgent;310;en;26
moment;309;en;26
damage;309;en;26
opportunity;308;en;26
national;306;en;26
november;305;en;26
nov;305;en;26
play;304;en;26
head;303;en;26
long;302;en;26
arrive;299;en;26
street;298;en;26
effort;298;en;26
delegation;295;en;26
cause;294;en;26
move;294;en;26
decade;293;en;26
sturgeon;292;en;26
air;291;en;26
degree;289;en;26
investment;288;en;26
turn;288;en;26
political;287;en;26
draft;287;en;26
provide;287;en;26
towards;285;en;26
lot;284;en;26
fly;284;en;26
member;283;en;26
fund;283;en;26
morning;282;en;26
nothing;280;en;26
close;279;en;26
co;278;en;26
methane;278;en;26
blah;278;en;26
business;278;en;26
feel;278;en;26
morrison;277;en;26
medium;277;en;26
failure;276;en;26
th;276;en;26
become;276;en;26
global warming;275;en;26
proud;274;en;26
scottish;274;en;26
final;271;en;26
island;271;en;26
major;270;en;26
limit;270;en;26
urge;270;en;26
point;269;en;26
covid;269;en;26
story;268;en;26
critical;268;en;26
@nicolasturgeon;267;en;26
strong;267;en;26
generation;267;en;26
affect;267;en;26
sector;266;en;26
same;265;en;26
development;265;en;26
since;265;en;26
south;264;en;26
risk;264;en;26
team;263;en;26
travel;263;en;26
pay;263;en;26
focus;260;en;26
#netzero;259;en;26
forward;258;en;26
africa;258;en;26
party;257;en;26
represent;256;en;26
outside;254;en;26
thousand;254;en;26
push;254;en;26
raise;254;en;26
drive;253;en;26
david;252;en;26
london;251;en;26
huge;249;en;26
ambitious;248;en;26
force;247;en;26
visit;246;en;26
partner;245;en;26
eu;245;en;26
explain;244;en;26
below;242;en;26
humanity;242;en;26
run;241;en;26
begin;241;en;26
line;239;en;26
least;237;en;26
link;237;en;26
gender;235;en;26
away;234;en;26
question;234;en;26
present;234;en;26
gmt;233;en;26
side;233;en;26
yesterday;233;en;26
release;232;en;26
small;232;en;26
cover;232;en;26
greenhouse;231;en;26
panel;231;en;26
conversation;230;en;26
movement;228;en;26
@unfccc;227;en;26
opening;227;en;26
initiative;226;en;26
never;225;en;26
poor;225;en;26
job;225;en;26
scientist;224;en;26
pollution;224;en;26
problem;224;en;26
sea;224;en;26
nuclear;224;en;26
threat;223;en;26
outcome;222;en;26
plant;222;en;26
press;221;en;26
accelerate;220;en;26
stage;219;en;26
pavilion;219;en;26
@gretathunberg;218;en;26
chance;218;en;26
free;217;en;26
send;217;en;26
number;216;en;26
access;216;en;26
money;215;en;26
zone;215;en;26
johnson;214;en;26
temperature;214;en;26
gather;214;en;26
economic;212;en;26
thread;212;en;26
less;212;en;26
article;211;en;26
pacific;211;en;26
reality;211;en;26
check;208;en;26
greta thunberg;207;en;26
subsidy;207;en;26
nicola;207;en;26
agenda;207;en;26
front;207;en;26
canada;207;en;26
photo;206;en;26
hard;204;en;26
technology;204;en;26
cost;203;en;26
resource;203;en;26
modi;203;en;26
strike;202;en;26
register;202;en;26
matter;200;en;26
fact;200;en;26
walk;200;en;26
announcement;200;en;26
warm;200;en;26
spend;200;en;26
top;199;en;26
scottishindependence;199;en;26
train;198;en;26
innovation;197;en;26
history;196;en;26
care;195;en;26
society;195;en;26
little;194;en;26
attenborough;194;en;26
disaster;193;en;26
scale;193;en;26
destroy;193;en;26
alive;192;en;26
space;192;en;26
crucial;190;en;26
amazing;189;en;26
burn;188;en;26
produce;188;en;26
fall;186;en;26
declaration;186;en;26
natural;186;en;26
heart;186;en;26
stay;186;en;26
behind;185;en;26
solidarity;185;en;26
lose;185;en;26
polluter;184;en;26
former;184;en;26
online;184;en;26
fast;183;en;26
reduction;183;en;26
area;183;en;26
@potus;182;en;26
hour;182;en;26
despite;182;en;26
expect;182;en;26
success;181;en;26
friend;181;en;26
carbon emissions;180;en;26
importance;180;en;26
track;180;en;26
govt;180;en;26
politician;180;en;26
instead;179;en;26
sustainability;179;en;26
man;179;en;26
campaign;179;en;26
past;179;en;26
blue;179;en;26
@un;178;en;26
sir;178;en;26
hand;178;en;26
early;177;en;26
frontline;177;en;26
vital;177;en;26
beyond;176;en;26
obama;176;en;26
waste;176;en;26
production;175;en;26
electric;174;en;26
secretary;174;en;26
due;173;en;26
hypocrisy;173;en;26
daily;173;en;26
lie;173;en;26
write;173;en;26
allow;173;en;26
require;172;en;26
believe;172;en;26
#cop26bbc;171;en;26
agriculture;171;en;26
copbbc;171;en;26
education;171;en;26
prince;171;en;26
wind;170;en;26
love;169;en;26
resilience;169;en;26
per;168;en;26
animal;168;en;26
combat;167;en;26
expert;167;en;26
financial;166;en;26
research;166;en;26
solar;166;en;26
remember;166;en;26
@aloksharma_rdg;164;en;26
lack;163;en;26
actually;163;en;26
lossanddamage;163;en;26
trade;163;en;26
official;163;en;26
girl;163;en;26
#lossanddamage;162;en;26
near;162;en;26
weather;162;en;26
miss;162;en;26
refuse;162;en;26
social;161;en;26
special;161;en;26
mask;161;en;26
rally;161;en;26
aim;161;en;26
grow;161;en;26
minute;160;en;26
market;160;en;26
ecosystem;160;en;26
worker;160;en;26
effect;159;en;26
tonight;159;en;26
wait;159;en;26
base;159;en;26
single;158;en;26
session;158;en;26
mark;158;en;26
school;157;en;26
coverage;157;en;26
renewable;157;en;26
avoid;157;en;26
death;156;en;26
zero;156;en;26
australian;156;en;26
room;156;en;26
tune;156;en;26
until;155;en;26
interview;155;en;26
datum;155;en;26
sure;154;en;26
record;154;en;26
remain;154;en;26
kick;154;en;26
ground;153;en;26
advocate;153;en;26
possible;153;en;26
road;153;en;26
centre;153;en;26
director;152;en;26
farmer;152;en;26
partnership;152;en;26
serious;151;en;26
yesscot;151;en;26
#yesscots;150;en;26
police;150;en;26
massive;150;en;26
source;150;en;26
benefit;150;en;26
joe biden;148;en;26
empty;148;en;26
price;147;en;26
british;147;en;26
extreme;147;en;26
chair;147;en;26
infrastructure;146;en;26
military;146;en;26
invest;146;en;26
tory;145;en;26
footprint;144;en;26
coalition;144;en;26
response;143;en;26
claim;143;en;26
win;142;en;26
whole;142;en;26
seem;142;en;26
kill;142;en;26
contribute;142;en;26
warn;142;en;26
@antonioguterres;141;en;26
within;141;en;26
fair;141;en;26
restore;141;en;26
alliance;140;en;26
healthy;140;en;26
bn;140;en;26
family;140;en;26
flood;140;en;26
ready;139;en;26
priority;139;en;26
current;139;en;26
reminder;138;en;26
experience;138;en;26
positive;138;en;26
bank;138;en;26
almost;137;en;26
meat;137;en;26
measure;137;en;26
result;137;en;26
essential;137;en;26
fire;137;en;26
accord;137;en;26
nearly;136;en;26
name;136;en;26
st;136;en;26
negotiator;135;en;26
among;135;en;26
eye;135;en;26
resilient;135;en;26
view;134;en;26
rest;134;en;26
safe;134;en;26
different;134;en;26
war;134;en;26
#scottishindependence;133;en;26
urgency;133;en;26
bold;133;en;26
person;133;en;26
add;133;en;26
die;133;en;26
always;132;en;26
civil;132;en;26
night;132;en;26
hit;132;en;26
offer;132;en;26
month;131;en;26
mention;131;en;26
united;131;en;26
venue;131;en;26
choose;131;en;26
saturday;130;en;26
speaker;130;en;26
three;130;en;26
understand;130;en;26
truth;129;en;26
scott;129;en;26
council;129;en;26
financing;129;en;26
adapt;129;en;26
bbc;128;en;26
especially;128;en;26
wales;128;en;26
example;128;en;26
fossilfuel;128;en;26
funding;128;en;26
presidency;127;en;26
idea;127;en;26
table;127;en;26
strategy;127;en;26
process;127;en;26
interest;127;en;26
friday;127;en;26
reveal;127;en;26
inspire;127;en;26
vehicle;126;en;26
else;126;en;26
security;126;en;26
shift;126;en;26
journey;126;en;26
film;126;en;26
account;126;en;26
@cop26_coalition;125;en;26
union;125;en;26
detail;125;en;26
dr;125;en;26
protester;125;en;26
renewable energy;124;en;26
answer;124;en;26
tonne;124;en;26
britain;124;en;26
plastic;124;en;26
ignore;124;en;26
monday;123;en;26
responsibility;123;en;26
half;123;en;26
ago;123;en;26
russia;123;en;26
cycling;123;en;26
inside;122;en;26
language;122;en;26
along;122;en;26
ceo;122;en;26
explore;122;en;26
contribution;121;en;26
amazon;121;en;26
sideline;121;en;26
promote;121;en;26
difference;120;en;26
central;120;en;26
currently;120;en;26
programme;120;en;26
service;120;en;26
piece;120;en;26
trudeau;120;en;26
river;120;en;26
heat;120;en;26
#fridaysforfuture;119;en;26
case;119;en;26
destruction;119;en;26
brazil;119;en;26
fridaysforfuture;119;en;26
catch;119;en;26
course;118;en;26
short;118;en;26
house;118;en;26
north;118;en;26
analysis;118;en;26
region;118;en;26
independence;118;en;26
remind;118;en;26
chief;117;en;26
whether;117;en;26
main;117;en;26
population;116;en;26
plenary;116;en;26
mile;116;en;26
threaten;116;en;26
representative;115;en;26
underway;115;en;26
return;115;en;26
reverse;115;en;26
improve;115;en;26
#scotland;114;en;26
pressure;114;en;26
trillion;114;en;26
general;113;en;26
hot;113;en;26
rule;113;en;26
second;113;en;26
#nature;112;en;26
letter;112;en;26
african;112;en;26
implement;112;en;26
#uprootthesystem;111;en;26
uprootthesystem;111;en;26
activity;111;en;26
inclusive;111;en;26
emitter;111;en;26
tweet;111;en;26
israel;111;en;26
#cdnpoli;110;en;26
champion;110;en;26
tv;110;en;26
cdnpoli;110;en;26
feature;110;en;26
@vanessa_vash;109;en;26
absolutely;109;en;26
deep;109;en;26
tuvalu;109;en;26
entire;109;en;26
post;109;en;26
capacity;109;en;26
image;109;en;26
honour;109;en;26
united nations;108;en;26
tax;108;en;26
brilliant;108;en;26
marine;108;en;26
reason;108;en;26
halt;108;en;26
sit;108;en;26
publish;108;en;26
#parisagreement;107;en;26
politic;107;en;26
historic;107;en;26
ndc;107;en;26
debate;107;en;26
ambassador;107;en;26
concern;107;en;26
order;107;en;26
award;107;en;26
cambridge;107;en;26
receive;107;en;26
prince charles;106;en;26
#globaldayofaction;106;en;26
light;106;en;26
pandemic;106;en;26
parisagreement;106;en;26
foreign;106;en;26
globaldayofaction;106;en;26
red;105;en;26
boris;105;en;26
invite;105;en;26
asleep;105;en;26
#climateactionnow;104;en;26
soon;104;en;26
catastrophe;104;en;26
kid;104;en;26
fm;104;en;26
climateactionnow;104;en;26
offset;104;en;26
indian;104;en;26
organisation;104;en;26
wonder;104;en;26
law;103;en;26
approach;103;en;26
path;103;en;26
delay;103;en;26
cooperation;103;en;26
hundred;103;en;26
mine;103;en;26
fantastic;103;en;26
park;103;en;26
suffer;103;en;26
#g20;102;en;26
total;102;en;26
protection;102;en;26
pass;102;en;26
false;102;en;26
citizen;102;en;26
mitigation;102;en;26
journalist;102;en;26
farm;102;en;26
network;102;en;26
encourage;102;en;26
significant;101;en;26
bit;101;en;26
globe;101;en;26
platform;101;en;26
happy;101;en;26
bear;101;en;26
joint;101;en;26
decide;101;en;26
recognise;101;en;26
#biodiversity;100;en;26
#euatcop26;100;en;26
euatcop;100;en;26
electricity;100;en;26
growth;100;en;26
able;100;en;26
strengthen;100;en;26
@unep;99;en;26
finally;99;en;26
mayor;99;en;26
yes;99;en;26
meaningful;99;en;26
building;99;en;26
eat;99;en;26
conservation;99;en;26
queen;99;en;26
consider;99;en;26
sharma;98;en;26
list;98;en;26
beautiful;98;en;26
@scottmorrisonmp;97;en;26
incredible;97;en;26
alternative;97;en;26
rather;97;en;26
drought;97;en;26
greenwash;97;en;26
seriously;97;en;26
wildlife;97;en;26
block;97;en;26
attention;97;en;26
flight;97;en;26
peatland;97;en;26
solve;97;en;26
behalf;96;en;26
bill;96;en;26
royal;96;en;26
europe;96;en;26
responsible;96;en;26
specie;96;en;26
vote;95;en;26
alone;95;en;26
form;95;en;26
ireland;95;en;26
picture;95;en;26
snp;95;en;26
showcase;95;en;26
excited;95;en;26
manage;95;en;26
respond;95;en;26
warming;94;en;26
maldives;94;en;26
wrong;94;en;26
choice;94;en;26
gap;94;en;26
corporate;94;en;26
twitter;94;en;26
bus;94;en;26
participate;94;en;26
pollute;94;en;26
#actonclimate;93;en;26
ice;93;en;26
book;93;en;26
john;93;en;26
advance;93;en;26
farming;93;en;26
amount;93;en;26
cycle;93;en;26
ban;93;en;26
shri;93;en;26
beach;93;en;26
wear;93;en;26
appear;93;en;26
involve;93;en;26
#deforestation;92;en;26
executive;92;en;26
double;92;en;26
whilst;92;en;26
kenya;92;en;26
profit;92;en;26
actonclimate;92;en;26
extinction;92;en;26
draw;92;en;26
campaigner;91;en;26
info;91;en;26
atmosphere;91;en;26
series;91;en;26
drop;91;en;26
collaboration;91;en;26
feminist;90;en;26
dear;90;en;26
corporation;90;en;26
struggle;90;en;26
ceremony;90;en;26
mitigate;90;en;26
pact;89;en;26
page;89;en;26
station;89;en;26
justtransition;89;en;26
duchess;89;en;26
@blackpink;88;en;26
concrete;88;en;26
race;88;en;26
worth;88;en;26
potential;88;en;26
paper;88;en;26
available;88;en;26
design;88;en;26
alongside;88;en;26
refugee;88;en;26
france;88;en;26
prevent;88;en;26
#justtransition;87;en;26
weekend;87;en;26
term;87;en;26
greenwashing;87;en;26
lobbyist;87;en;26
elite;87;en;26
arctic;87;en;26
greta;87;en;26
secure;87;en;26
enjoy;87;en;26
weak;86;en;26
student;86;en;26
common;86;en;26
later;86;en;26
evening;86;en;26
habitat;86;en;26
consequence;86;en;26
note;86;en;26
depend;86;en;26
remark;85;en;26
above;85;en;26
game;85;en;26
delighted;85;en;26
knowledge;85;en;26
hydrogen;85;en;26
barbados;85;en;26
hypocrite;85;en;26
plane;85;en;26
bezos;85;en;26
alok;84;en;26
center;84;en;26
capture;84;en;26
rain;84;en;26
livelihood;83;en;26
winner;83;en;26
assange;83;en;26
hub;83;en;26
duke;83;en;26
reflect;83;en;26
#fornature;82;en;26
#actnow;82;en;26
inequality;82;en;26
stake;82;en;26
office;82;en;26
fornature;82;en;26
trip;82;en;26
inaction;82;en;26
buy;82;en;26
information;82;en;26
actnow;82;en;26
emit;82;en;26
dialogue;81;en;26
capitalism;81;en;26
framework;81;en;26
truly;81;en;26
comment;81;en;26
accessible;81;en;26
cartoon;81;en;26
rainforest;81;en;26
blog;81;en;26
value;81;en;26
israeli;81;en;26
@scotgov;80;en;26
collective;80;en;26
america;80;en;26
recent;80;en;26
mp;80;en;26
often;80;en;26
#climatefinance;79;en;26
injustice;79;en;26
poverty;79;en;26
credit;79;en;26
industrial;79;en;26
west;79;en;26
date;79;en;26
standard;79;en;26
control;79;en;26
climatefinance;79;en;26
study;79;en;26
kind;79;en;26
pleasure;79;en;26
pension;79;en;26
imagine;79;en;26
prepare;79;en;26
stream;78;en;26
colleague;78;en;26
trust;78;en;26
likely;78;en;26
phaseout;78;en;26
dangerous;78;en;26
european;78;en;26
field;78;en;26
boost;78;en;26
chat;78;en;26
recovery;78;en;26
william;78;en;26
enter;78;en;26
#johnsonout;77;en;26
sense;77;en;26
art;77;en;26
wealthy;77;en;26
fellow;77;en;26
johnsonout;77;en;26
jeff;77;en;26
demonstrate;77;en;26
catastrophic;76;en;26
vision;76;en;26
worldwide;76;en;26
barack;76;en;26
sdg;76;en;26
naturebasedsolution;76;en;26
wheelchair;76;en;26
exclude;76;en;26
germany;75;en;26
thought;75;en;26
immediate;75;en;26
devastating;75;en;26
clearly;75;en;26
ongoing;75;en;26
fear;75;en;26
scotlands;75;en;26
bike;75;en;26
rome;75;en;26
vanessa;75;en;26
avert;75;en;26
treat;75;en;26
stopN;75;en;26
#wtpearth;74;en;26
#naturebasedsolutions;74;en;26
guide;74;en;26
deeply;74;en;26
century;74;en;26
five;74;en;26
excellent;74;en;26
board;74;en;26
states;74;en;26
wtpearth;74;en;26
theme;74;en;26
sponsor;74;en;26
greenwashe;74;en;26
fix;74;en;26
pull;74;en;26
simply;73;en;26
average;73;en;26
complete;73;en;26
gt;73;en;26
busy;73;en;26
mary;73;en;26
secretarygeneral;73;en;26
simple;73;en;26
awareness;73;en;26
expose;73;en;26
engage;73;en;26
serve;73;en;26
missN;73;en;26
folk;72;en;26
sound;72;en;26
hall;72;en;26
globally;72;en;26
literally;72;en;26
effective;72;en;26
attempt;72;en;26
meanwhile;72;en;26
throughout;72;en;26
ji;72;en;26
celebrate;72;en;26
transform;72;en;26
@justintrudeau;71;en;26
livestream;71;en;26
heating;71;en;26
robinson;71;en;26
position;71;en;26
though;71;en;26
fully;71;en;26
tuesday;71;en;26
performance;71;en;26
respect;71;en;26
ghg;71;en;26
four;71;en;26
remove;71;en;26
propose;71;en;26
sunday;70;en;26
tool;70;en;26
annual;70;en;26
practice;70;en;26
mining;70;en;26
display;70;en;26
exist;70;en;26
participation;70;en;26
eve;70;en;26
highlevel;70;en;26
witness;70;en;26
labour;69;en;26
usual;69;en;26
mind;69;en;26
corrupt;69;en;26
ten;69;en;26
pleased;69;en;26
rwanda;69;en;26
seek;69;en;26
negotiate;69;en;26
scene;68;en;26
giant;68;en;26
spot;68;en;26
crime;68;en;26
virtual;68;en;26
banner;68;en;26
adopt;68;en;26
organise;68;en;26
#feministclimatejustice;67;en;26
#fossilfuels;67;en;26
#energy;67;en;26
#climatejusticenow;67;en;26
#scottishindependence14;67;en;26
#saltiresunday;67;en;26
@joebiden;67;en;26
urgently;67;en;26
supply;67;en;26
successful;67;en;26
wake;67;en;26
independent;67;en;26
brexit;67;en;26
quality;67;en;26
dollar;67;en;26
afternoon;67;en;26
excuse;67;en;26
edinburgh;67;en;26
bangladesh;67;en;26
climatejusticenow;67;en;26
express;67;en;26
declare;67;en;26
enable;67;en;26
#humanrights;66;en;26
#payup4lossanddamage;66;en;26
unless;66;en;26
survival;66;en;26
feministclimatejustice;66;en;26
era;66;en;26
payuplossanddamage;66;en;26
george;66;en;26
defender;66;en;26
prove;66;en;26
radical;65;en;26
todays;65;en;26
influence;65;en;26
bridge;65;en;26
door;65;en;26
budget;65;en;26
urban;65;en;26
regional;65;en;26
necessary;65;en;26
wish;65;en;26
cap;65;en;26
accuse;65;en;26
#covid19;64;en;26
@undp;64;en;26
consumption;64;en;26
whatever;64;en;26
quite;64;en;26
completely;64;en;26
selfie;64;en;26
age;64;en;26
ecocide;64;en;26
directly;64;en;26
harm;64;en;26
store;64;en;26
suggest;64;en;26
undermine;64;en;26
carry;64;en;26
parliament;63;en;26
brief;63;en;26
flag;63;en;26
test;63;en;26
blame;63;en;26
dirty;63;en;26
option;63;en;26
saudi;63;en;26
ally;63;en;26
finalist;63;en;26
saltiresunday;63;en;26
accept;63;en;26
#climateactioninyourarea;62;en;26
actor;62;en;26
maybe;62;en;26
channel;62;en;26
disabled;62;en;26
headline;62;en;26
wonderful;62;en;26
exactly;62;en;26
inspiring;62;en;26
mass;62;en;26
firm;62;en;26
unable;62;en;26
rail;62;en;26
dinner;62;en;26
assembly;62;en;26
french;62;en;26
climateactioninyourarea;62;en;26
macron;62;en;26
mother;61;en;26
wealth;61;en;26
nd;61;en;26
dairy;61;en;26
founder;61;en;26
degradation;61;en;26
demonstration;61;en;26
sewage;61;en;26
reception;61;en;26
preserve;61;en;26
#nationinwaiting;60;en;26
faith;60;en;26
third;60;en;26
direct;60;en;26
administration;60;en;26
several;60;en;26
debt;60;en;26
envoy;60;en;26
perspective;60;en;26
pakistan;60;en;26
individual;60;en;26
product;60;en;26
wednesday;60;en;26
peace;60;en;26
sky;60;en;26
restoration;60;en;26
sink;60;en;26
connect;60;en;26
deny;60;en;26
#presidencyofhope;59;en;26
indonesia;59;en;26
culture;59;en;26
program;59;en;26
document;59;en;26
easy;59;en;26
speed;59;en;26
rate;59;en;26
soil;59;en;26
site;59;en;26
mia;59;en;26
curb;59;en;26
presidencyofhope;59;en;26
count;59;en;26
narendra;59;en;26
outline;59;en;26
recognize;59;en;26
deserve;59;en;26
acknowledge;59;en;26
#coal;58;en;26
#sustainability;58;en;26
#worldclimatemarch;58;en;26
@climateenvoy;58;en;26
charge;58;en;26
class;58;en;26
exclusive;58;en;26
implementation;58;en;26
forum;58;en;26
surprise;58;en;26
facility;58;en;26
everywhere;58;en;26
ipcc;58;en;26
conflict;58;en;26
supporter;58;en;26
worldclimatemarch;58;en;26
lecture;58;en;26
sell;58;en;26
#dontchooseextinction;57;en;26
#racetozero;57;en;26
@bbcnews;57;en;26
deputy;57;en;26
arrest;57;en;26
pres;57;en;26
lord;57;en;26
transformation;57;en;26
billionaire;57;en;26
battle;57;en;26
min;57;en;26
equality;57;en;26
corruption;57;en;26
dontchooseextinction;57;en;26
racetozero;57;en;26
active;57;en;26
cheap;57;en;26
mission;57;en;26
club;57;en;26
estimate;57;en;26
santos;57;en;26
confirm;57;en;26
relate;57;en;26
introduce;57;en;26
#india;56;en;26
@who;56;en;26
absolute;56;en;26
western;56;en;26
uks;56;en;26
revolution;56;en;26
none;56;en;26
honor;56;en;26
danger;56;en;26
slow;56;en;26
lobby;56;en;26
town;56;en;26
black;56;en;26
guest;56;en;26
laugh;56;en;26
combine;56;en;26
emerge;56;en;26
giveN;56;en;26
#glasgowcop26;55;en;26
#fossilfuel;55;en;26
@scotgovfm;55;en;26
probably;55;en;26
feed;55;en;26
sun;55;en;26
officially;55;en;26
glasgowcop;55;en;26
nice;55;en;26
gov;55;en;26
ton;55;en;26
sentence;55;en;26
particularly;55;en;26
existential;55;en;26
icymi;55;en;26
glacier;55;en;26
julian;55;en;26
canadian;55;en;26
pipeline;55;en;26
tech;55;en;26
environmentalist;55;en;26
domestic;55;en;26
roll;55;en;26
melt;55;en;26
argue;55;en;26
@barackobama;54;en;26
wrap;54;en;26
driver;54;en;26
relationship;54;en;26
whose;54;en;26
quick;54;en;26
momentum;54;en;26
naturepositive;54;en;26
australias;54;en;26
spin;54;en;26
regard;54;en;26
cold;54;en;26
aid;54;en;26
mr;54;en;26
extraction;54;en;26
producer;54;en;26
mottley;54;en;26
sdgs;54;en;26
palestinian;54;en;26
grid;54;en;26
aviation;54;en;26
management;54;en;26
institution;54;en;26
scots;54;en;26
pray;54;en;26
kelvingrove;54;en;26
cancel;54;en;26
replace;54;en;26
compare;54;en;26
forgetN;54;en;26
pretend;54;en;26
#environment;53;en;26
shame;53;en;26
rapidly;53;en;26
innovative;53;en;26
smart;53;en;26
unabated;53;en;26
kerry;53;en;26
signal;53;en;26
festival;53;en;26
chinese;53;en;26
friendly;53;en;26
attendee;53;en;26
mps;53;en;26
pr;53;en;26
pathway;53;en;26
apart;53;en;26
embarrassing;53;en;26
warrior;53;en;26
generate;53;en;26
#maldivesatcop26;52;en;26
#deliver4climate;52;en;26
direction;52;en;26
engagement;52;en;26
insight;52;en;26
figure;52;en;26
pretty;52;en;26
joke;52;en;26
ecological;52;en;26
loud;52;en;26
briefing;52;en;26
reef;52;en;26
lowcarbon;52;en;26
exciting;52;en;26
migration;52;en;26
maldivesatcop;52;en;26
deliverclimate;52;en;26
attendN;52;en;26
#ocean;51;en;26
#endclimateimperialism;51;en;26
#cop26gda;51;en;26
apparently;51;en;26
toward;51;en;26
bin;51;en;26
package;51;en;26
evidence;51;en;26
willing;51;en;26
indias;51;en;26
personal;51;en;26
pic;51;en;26
zimbabwe;51;en;26
endclimateimperialism;51;en;26
copgda;51;en;26
dig;51;en;26
defend;51;en;26
nationinwaite;51;en;26
amplify;51;en;26
#sdgs;50;en;26
@pmoindia;50;en;26
